"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"
"stringr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5.0"	NA	"R (>= 3.3)"	"cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs"	NA	"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"survival"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.4-0"	"recommended"	"R (>= 3.5.0)"	"graphics, Matrix, methods, splines, stats, utils"	NA	NA	NA	"LGPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"svglite"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.1"	NA	"R (>= 3.0.0)"	"systemfonts (>= 1.0.0)"	"cpp11, systemfonts"	"covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"sys"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.4.1"	NA	NA	NA	NA	"unix (>= 1.4), spelling, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"systemfonts"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.4"	NA	"R (>= 3.2.0)"	NA	"cpp11 (>= 0.2.1)"	"testthat (>= 2.1.0), covr, knitr, rmarkdown, tools"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"tcltk"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"utils"	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"tensorflow"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.15.0"	NA	"R (>= 3.6)"	"config, processx, reticulate (>= 1.32), tfruns (>= 1.0),
utils, yaml, grDevices, tfautograph (>= 0.3.1), rstudioapi (>=
0.7), lifecycle"	NA	"testthat (>= 2.1.0), keras, pillar, withr, callr"	NA	"Apache License 2.0"	NA	NA	NA	NA	"no"	"4.2.3"
"testthat"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.2.1"	NA	"R (>= 3.6.0)"	"brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), evaluate (>= 0.21), jsonlite (>=
1.8.7), lifecycle (>= 1.0.3), magrittr (>= 2.0.3), methods,
pkgload (>= 1.3.2.1), praise (>= 1.0.0), processx (>= 3.8.2),
ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>= 1.1.1), utils, waldo
(>= 0.5.1), withr (>= 2.5.0)"	NA	"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"textshaping"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.7"	NA	"R (>= 3.2.0)"	"systemfonts (>= 1.0.0)"	"cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)"	"covr, knitr, rmarkdown"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"tfautograph"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.2"	NA	"R (>= 3.1)"	"reticulate, backports"	NA	"rlang, tensorflow, testthat (>= 2.1.0)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"tfruns"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5.2"	NA	"R (>= 3.1)"	"utils, jsonlite (>= 1.2), base64enc, yaml, config, magrittr,
whisker, tidyselect, rlang, rstudioapi (>= 0.7), reticulate"	NA	"testthat, knitr, withr, here, rmarkdown"	NA	"Apache License 2.0"	NA	NA	NA	NA	"no"	"4.2.3"
"tibble"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.2.1"	NA	"R (>= 3.4.0)"	"fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)"	NA	"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"tidyr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.1"	NA	"R (>= 3.6)"	"cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)"	"cpp11 (>= 0.4.0)"	"covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"tidyselect"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.0"	NA	"R (>= 3.4)"	"cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr"	NA	"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"tidyverse"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.0"	NA	"R (>= 3.3)"	"broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)"	NA	"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"timechange"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2.0"	NA	"R (>= 3.3)"	NA	"cpp11 (>= 0.2.7)"	"testthat (>= 0.7.1.99), knitr"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"timeDate"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4032.109"	NA	"R (>= 3.6.0), methods"	"graphics, utils, stats"	NA	"RUnit"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.3"
"tinytex"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.49"	NA	NA	"xfun (>= 0.29)"	NA	"testit, rstudioapi"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"tools"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"TSclust"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.1"	NA	"R (>= 3.0.2), pdc, cluster"	"locpol, KernSmooth, dtw, longitudinalData, forecast"	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"tseries"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.10-54"	NA	"R (>= 2.10.0)"	"graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9),
jsonlite"	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"TTR"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.24.3"	NA	NA	"xts (>= 0.10-0), zoo, curl"	"xts"	"RUnit"	"quantmod"	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"tzdb"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.0"	NA	"R (>= 3.5.0)"	NA	"cpp11 (>= 0.4.2)"	"covr, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"units"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.8-5"	NA	"R (>= 3.0.2)"	"Rcpp"	"Rcpp (>= 0.12.10)"	"NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown"	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.3"
"urca"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3-3"	NA	"R (>= 2.0.0), methods"	"nlme, graphics, stats"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"utf8"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.2"	NA	"R (>= 2.10)"	NA	NA	"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr"	NA	"Apache License (== 2.0) | file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"utils"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	"methods, xml2, commonmark, knitr"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"uuid"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1-0"	NA	"R (>= 2.9.0)"	NA	NA	NA	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"vctrs"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.5"	NA	"R (>= 3.5.0)"	"cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)"	NA	"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"viridis"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.5"	NA	"R (>= 2.10), viridisLite (>= 0.4.0)"	"ggplot2 (>= 1.0.1), gridExtra"	NA	"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, httr, mapproj, vdiffr, svglite (>= 1.2.0),
testthat, covr, rmarkdown, maps, terra"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"viridisLite"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.1"	NA	"R (>= 2.10)"	NA	NA	"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"vroom"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.1"	NA	"R (>= 3.4)"	"bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr"	"cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)"	"archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"waldo"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.2"	NA	"R (>= 3.6)"	"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble"	NA	"covr, R6, testthat (>= 3.0.0), withr, xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"webshot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.4"	NA	"R (>= 3.0)"	"magrittr, jsonlite, callr"	NA	"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"whisker"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.1"	NA	NA	NA	NA	"markdown"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"withr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.5.0"	NA	"R (>= 3.2.0)"	"graphics, grDevices, stats"	NA	"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"wk"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9.1"	NA	"R (>= 2.10)"	NA	NA	"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"worldfootballR"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.2"	NA	"R (>= 4.0.0)"	"dplyr, glue, httr, janitor, jsonlite, lubridate, magrittr,
progress, purrr, qdapRegex, readr, rlang, rstudioapi, rvest (>=
1.0.0), stats, stringi, stringr, tidyr (>= 1.2.0), tidyselect,
utils, withr, xml2, tibble, cli, curl"	NA	"knitr, rmarkdown, testthat"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"xfun"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.36"	NA	NA	"stats, tools"	NA	"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, magick, rmarkdown"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"XML"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.99-0.13"	NA	"R (>= 4.0.0), methods, utils"	NA	NA	"bitops, RCurl"	NA	"BSD_3_clause + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"xml2"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.3"	NA	"R (>= 3.1.0)"	"methods"	NA	"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"xtable"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8-4"	NA	"R (>= 2.10.0)"	"stats, utils"	NA	"knitr, plm, zoo, survival"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"xts"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.13.1"	NA	"R (>= 3.6.0), zoo (>= 1.7-12)"	"methods"	"zoo"	"timeSeries, timeDate, tseries, chron, tinytest"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"yaml"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.3.7"	NA	NA	NA	NA	"RUnit"	NA	"BSD_3_clause + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"zeallot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1.0"	NA	NA	NA	NA	"testthat, knitr, rmarkdown, purrr, magrittr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"zoo"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8-12"	NA	"R (>= 3.1.0), stats"	"utils, graphics, grDevices, lattice (>= 0.20-27)"	NA	"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
